ORIGIN,DEP_DELAY_NEW,origin_city,origin_lat,origin_long
GRB,6429.0,Green Bay,44.48509979248047,-88.12960052490234
ILM,6080.0,Wilmington,34.27059936523437,-77.90260314941406
AZA,5970.0,Mesa,33.30780029,-111.65499879999999
CRW,5807.0,Charleston,38.37310028076172,-81.59320068359375
HDN,5752.0,Hayden,40.48120117,-107.21800230000001
PIA,5733.0,Peoria,40.664199829100006,-89.6932983398
MEI,5710.0,Meridian,32.33259963989258,-88.75189971923828
PGD,5676.0,Punta Gorda,26.92020035,-81.99050140000001
CAE,5577.0,Columbia,33.93880081176758,-81.11949920654297
JMS,5494.0,Jamestown,46.92969894,-98.67819977
RST,5450.0,Rochester,43.90829849243164,-92.5
ISP,5426.0,Islip,40.79520035,-73.10019684
STT,5331.0,St. Thomas,18.337299346923828,-64.97339630126953
ABE,5245.0,Allentown,40.652099609375,-75.44080352783203
BMI,5218.0,Bloomington,40.47710037,-88.91590118
DLH,5170.0,Duluth,46.8420982361,-92.19360351559999
SHV,4920.0,Shreveport,32.446602,-93.8256
TVC,4902.0,Traverse City,44.74140167236328,-85.58219909667969
BIS,4896.0,Bismarck,46.77270126342773,-100.74600219726562
MOB,4884.0,Mobile,30.691200256348,-88.242797851562
SWF,4864.0,Newburgh,41.50410079956055,-74.10479736328125
CMI,4794.0,Champaign,40.03919983,-88.27809906
LAN,4777.0,Lansing,42.77870178222656,-84.58740234375
ACV,4729.0,Arcata CA,40.978101,-124.109
VPS,4444.0,Valparaiso,30.4832,-86.525398
MRY,4157.0,Monterey,36.58700180053711,-121.84300231933594
ECP,4126.0,Panama City,30.357105999999998,-85.79541400000001
MGM,4086.0,MONTGOMERY,32.30059814,-86.39399719
MHT,4082.0,Manchester NH,42.932598,-71.435699
FAY,4002.0,Fayetteville,34.991199493408196,-78.88030242919922
TTN,3946.0,Trenton,40.27669906616211,-74.8134994506836
IMT,3797.0,Iron Mountain,45.8184013367,-88.11450195309999
LFT,3784.0,Lafayette,30.20529938,-91.98760223
BGR,3716.0,Bangor,44.80739974975586,-68.82810211181639
GNV,3653.0,Gainesville,29.6900997162,-82.27179718020001
JNU,3631.0,Juneau,58.35499954223633,-134.57600402832028
AZO,3611.0,Kalamazoo,42.234901428222656,-85.5521011352539
FNT,3460.0,Flint,42.96540069580078,-83.74359893798828
GFK,3450.0,Grand Forks,47.949298999999996,-97.176102
ITH,3368.0,Ithaca,42.49100112915039,-76.4583969116211
BFL,3313.0,Bakersfield,35.43360138,-119.0569992
COU,3306.0,Columbia,38.81809997558594,-92.21959686279295
MFE,3296.0,Mcallen,26.17580032,-98.23860168
MTJ,3276.0,Montrose CO,38.5097999573,-107.89399719200001
EVV,3263.0,Evansville,38.0369987488,-87.53240203860001
DRO,3250.0,Durango,37.1515007019,-107.75399780299999
PSC,3201.0,Pasco,46.26470184326172,-119.11900329589844
TOL,3153.0,Toledo,41.58679962,-83.80780029
ROA,3139.0,Roanoke VA,37.3255,-79.975403
GJT,3106.0,Grand Junction,39.1223983765,-108.527000427
BQN,3089.0,Aguadilla,18.49489974975586,-67.12940216064453
DVL,3061.0,Devils Lake,48.11420059,-98.90879822
SLN,3041.0,Salina,38.79100036621094,-97.6521987915039
MMH,3024.0,Mammoth Lakes,37.62409973,-118.83799740000002
MQT,2988.0,Gwinn,46.3535995483,-87.39540100100001
HYS,2971.0,Hays,38.84220123,-99.27320099
MOT,2965.0,Minot,48.2593994140625,-101.27999877929688
SAF,2960.0,Santa Fe,35.617099761999995,-106.08899688700001
AMA,2958.0,Amarillo,35.219398,-101.706001
TLH,2931.0,Tallahassee,30.396499633789066,-84.35030364990234
MBS,2907.0,Saginaw,43.532901763916016,-84.07959747314453
GTF,2869.0,Great Falls,47.48199844,-111.3710022
CIU,2769.0,Sault Ste Marie,46.25080108642578,-84.47239685058594
MHK,2698.0,Manhattan,39.14099884033203,-96.6707992553711
KTN,2690.0,Ketchikan,55.35559845,-131.7140045
LBB,2679.0,Lubbock,33.663601,-101.822998
AVP,2672.0,Scranton,41.338500976599995,-75.72339630130001
PLN,2555.0,Pellston,45.57089996,-84.79669952
PIE,2530.0,St. Petersburg,27.91020012,-82.68740082
AGS,2525.0,Bush Field,33.36989974975586,-81.9645004272461
TWF,2427.0,Twin Falls,42.4818,-114.487999
TRI,2418.0,BRISTOL,36.475201,-82.40740100000001
PAH,2379.0,PADUCAH,37.06079864501953,-88.7738037109375
SPI,2377.0,Springfield,39.84410095,-89.67790222
GPT,2347.0,Gulfport,30.40730094909668,-89.07009887695312
ORH,2301.0,Worcester,42.26729965209961,-71.87570190429688
MLU,2266.0,Monroe,32.51089859008789,-92.0376968383789
GRK,2249.0,Killeen,31.067199706999997,-97.8289031982
RFD,2249.0,Rockford,42.19540023803711,-89.09719848632812
ACY,2241.0,Atlantic City,39.45759963989258,-74.57720184326172
HRL,2239.0,Harlingen,26.228500366210934,-97.65440368652344
ROW,2211.0,Roswell,33.30160140991211,-104.53099822998048
BJI,2173.0,Bemidji,47.50939941,-94.93370056
BGM,2137.0,Binghamton,42.20869827,-75.97979736
FCA,2091.0,Kalispell,48.31050109863281,-114.25599670410156
LRD,2064.0,Laredo,27.543800354003906,-99.46160125732422
APN,2063.0,Alpena,45.07809829999999,-83.56030273
CRP,2050.0,Corpus Christi,27.77039909362793,-97.5011978149414
FAI,1950.0,Fairbanks,64.81510162,-147.85600280000003
ESC,1885.0,Escanaba,45.7226982117,-87.0936965942
BLI,1860.0,Bellingham,48.79280090332031,-122.53800201416016
GCC,1838.0,Gillette,44.3488998413,-105.539001465
SCE,1755.0,State College Pennsylvania,40.8493003845,-77.84870147710002
ABI,1749.0,Abilene,32.4113006592,-99.68190002440001
CWA,1747.0,Wassau,44.7775993347,-89.6668014526
SGU,1727.0,Saint George,37.036389,-113.510306
BLV,1704.0,Belleville,38.5452,-89.835197
CLL,1695.0,College Station,30.58860016,-96.36380005
PBG,1688.0,Plattsburgh,44.6509017944336,-73.46810150146484
BIL,1678.0,Billings,45.807701110839844,-108.54299926757812
RDD,1662.0,Redding,40.50899887,-122.2929993
CGI,1646.0,Cape Girardeau,37.22529983520508,-89.57080078125
LSE,1629.0,La Crosse,43.879002,-91.256699
DAB,1608.0,Daytona Beach,29.179899,-81.058098
CKB,1601.0,Clarksburg,39.2966003418,-80.2281036377
STS,1591.0,Santa Rosa,38.50899887,-122.8130035
BRO,1588.0,Brownsville,25.90679931640625,-97.4259033203125
SUN,1549.0,Hailey,43.50439835,-114.2959976
IDA,1545.0,Idaho Falls,43.514599,-112.070999
LWB,1515.0,Lewisburg,37.8582992554,-80.3994979858
OAJ,1512.0,Jacksonville NC,34.8292007446,-77.61209869380002
DHN,1499.0,Dothan,31.3213005065918,-85.44960021972656
IAG,1468.0,Niagara Falls,43.1072998046875,-78.94619750976562
MSO,1445.0,Missoula,46.91630173,-114.0910034
FLG,1420.0,Flagstaff,35.13850021,-111.6709976
BRD,1411.0,Brainerd,46.39830017,-94.13809967
ART,1399.0,Watertown,43.99190139770508,-76.02169799804688
EAU,1395.0,Eau Claire,44.86579895019531,-91.48429870605469
VEL,1386.0,Vernal,40.4408989,-109.5100021
CYS,1357.0,Cheyenne,41.15570068,-104.81199649999999
HVN,1342.0,New Haven,41.26369858,-72.88680267
GRI,1341.0,Grand Island,40.96749877929688,-98.30960083007812
FSM,1321.0,Fort Smith,35.33660125732422,-94.36740112304688
UIN,1314.0,Quincy,39.94269943,-91.19460297
JLN,1314.0,Joplin,37.151798248291016,-94.49829864501952
AEX,1270.0,Alexandria,31.32740020751953,-92.54979705810548
WRG,1255.0,Wrangell,56.48429871,-132.36999509999998
LCK,1251.0,Columbus,39.813801,-82.927803
EWN,1234.0,New Bern,35.0730018616,-77.04290008539998
SHD,1230.0,Weyers Cave,38.2638015747,-78.8964004517
PIB,1227.0,Hattiesburg/Laurel,31.467100143432614,-89.33709716796875
LNK,1225.0,Lincoln,40.85100173950195,-96.75920104980469
DRT,1199.0,Del Rio,29.3742008209,-100.92700195299999
DBQ,1163.0,Dubuque IA,42.40200043,-90.70950317
ISN,1154.0,Williston,48.177898407,-103.64199829100001
ITO,1123.0,Hilo,19.721399307250977,-155.04800415039062
PSE,1101.0,Ponce,18.00830078125,-66.56300354003906
CSG,1077.0,Columbus,32.516300201416016,-84.93890380859375
ERI,1072.0,Erie,42.0831270134,-80.1738667488
RKS,1010.0,Rock Springs,41.5942,-109.065001
MLB,990.0,Melbourne,28.10280036926269,-80.64530181884766
RHI,984.0,Rhinelander,45.63119888305664,-89.46749877929688
LAR,974.0,Laramie,41.31209945678711,-105.6750030517578
LCH,971.0,Lake Charles,30.12610054016113,-93.22329711914062
LAW,934.0,Lawton,34.5676994324,-98.4166030884
PVU,926.0,Provo,40.219200134277,-111.72299957275
SCK,918.0,Stockton,37.894199371338,-121.2379989624
PSG,910.0,Petersburg,56.80170059,-132.9450073
ABR,891.0,Aberdeen,45.44910049438477,-98.42179870605469
ALO,883.0,Waterloo,42.55709838867188,-92.40029907226562
SIT,875.0,Sitka,57.04710006713867,-135.36199951171878
BET,858.0,Bethel,60.77980042,-161.8379974
YAK,835.0,Yakutat,59.503299713100006,-139.660003662
USA,794.0,Concord,35.387798,-80.709099
MKG,787.0,Muskegon,43.16949844,-86.23819733
BTM,768.0,Butte,45.95479965209961,-112.49700164794922
SUX,767.0,Sioux City,42.40259933,-96.38439941
CMX,750.0,Hancock,47.16839981079102,-88.48909759521484
STC,743.0,Saint Cloud,45.54660034179688,-94.05989837646484
TYR,718.0,Tyler,32.35409927368164,-95.40239715576172
LBE,691.0,Latrobe,40.27590179,-79.40480042
CDV,667.0,Cordova,60.49179839999999,-145.4779968
CNY,656.0,Moab,38.75500107,-109.7549973
SPS,651.0,Wichita Falls,33.9888,-98.49189799999999
GCK,651.0,Garden City,37.9275016785,-100.72399902299999
SJT,645.0,San Angelo,31.35770034790039,-100.49600219726562
COD,644.0,Cody,44.520198822,-109.024002075
ABY,625.0,Albany,31.535499572753906,-84.19450378417969
HIB,613.0,Hibbing,47.38660049,-92.83899689
VLD,612.0,Valdosta,30.78249931335449,-83.27670288085938
HOB,601.0,Hobbs,32.6875,-103.21700290000001
BQK,596.0,Brunswick,31.2588005065918,-81.46649932861328
STX,577.0,St. Croix Island,17.701900482177734,-64.79859924316406
EKO,573.0,Elko,40.82490158081055,-115.79199981689452
ADQ,560.0,Kodiak,57.75,-152.4940033
BPT,541.0,Beaumont,29.9507999420166,-94.02069854736328
YUM,539.0,Yuma,32.65660095,-114.6060028
OGS,523.0,Ogdensburg,44.681900024399994,-75.46549987790002
PUB,519.0,Pueblo,38.289100646972656,-104.49700164794922
GUC,518.0,Gunnison,38.53390121,-106.9329987
TXK,510.0,Texarkana,33.45370101928711,-93.99099731445312
SPN,465.0,Saipan,15.119000000000002,145.729004
HLN,464.0,Helena,46.6068000793457,-111.98300170898438
GTR,463.0,Columbus Mississippi,33.450298309299995,-88.59140014649999
HHH,449.0,Hilton Head Island,32.2243995667,-80.6975021362
PSM,447.0,Portsmouth,43.0778999329,-70.8233032227
PHF,444.0,Newport News,37.13190079,-76.49299622
GUM,436.0,Agana,13.4834003448,144.796005249
HGR,430.0,Hagerstown,39.707901,-77.72949982
OTZ,410.0,Kotzebue,66.88469696,-162.598999
HTS,402.0,Huntington,38.36669922,-82.55799866
EAR,383.0,,,
ACT,366.0,Waco,31.61129951477051,-97.23049926757812
LBL,363.0,Liberal,37.04420089999999,-100.95999909999999
OWB,359.0,Owensboro,37.74010086,-87.16680145
CDC,355.0,Cedar City,37.70100021362305,-113.0989990234375
SMX,347.0,Santa Maria,34.89889908,-120.4570007
OTH,307.0,North Bend,43.41709899902344,-124.24600219726562
INL,300.0,International Falls,48.566200256347656,-93.4030990600586
OGD,287.0,Ogden,41.195899963379,-112.0120010376
CPR,285.0,Casper,42.908001,-106.46399699999999
PRC,282.0,Prescott,34.65449905,-112.41999820000001
PIH,277.0,Pocatello,42.9098014831543,-112.59600067138672
OME,264.0,Nome,64.51219940185547,-165.44500732421875
LBF,215.0,North Platte,41.12620163,-100.6839981
GGG,198.0,Longview,32.38399887084961,-94.71150207519531
SCC,173.0,Deadhorse,70.19470215,-148.46499630000002
LWS,148.0,Lewiston,46.3745002746582,-117.01499938964844
BRW,126.0,Barrow,71.285402,-156.766008
LYH,79.0,Lynchburg,37.326698303222656,-79.20040130615234
BFF,77.0,Scottsbluff,41.87400055,-103.5960007
ELM,59.0,Elmira,42.1599006652832,-76.8916015625
ADK,53.0,Adak Island,51.87799835205078,-176.64599609375
SWO,48.0,Stillwater,36.161201477051,-97.08570098876999
PPG,44.0,Pago Pago,-14.3310003281,-170.710006714
